PLAYER,ROLE,PRICE,TEAM,IsWicketKeeper,BowlingRating,BattingRating
MS DHONI,Wicket-keeper,12.0,CSK,1,0,10.0
DEVON CONWAY,Batsman,1.0,CSK,0,0,10.0
RUTURAJ GAIKWAD,Batsman,6.0,CSK,0,0,10.0
AJINKYA RAHANE,Wicket-keeper,0.5,CSK,1,0,10.0
SHAIK RASHEED,All-Rounder,0.2,CSK,0,0,0
RAVINDRA JADEJA,All-Rounder,16.0,CSK,0,10.0,10.0
MITCHELL SANTNER,All Rounder,1.9,CSK,0,10.0,10.0
MOEEN ALI,All Rounder,8.0,CSK,0,10.0,10.0
SHIVAM DUBE,All Rounder,4.0,CSK,0,0,10.0
NISHANT SINDHU,All Rounder,0.6,CSK,0,0,0
AJAY MANDAL,All Rounder,0.2,CSK,0,0,0
RAJVARDHAN HANGARGEKAR,Bowler,1.5,CSK,0,0,0
DEEPAK CHAHAR,All Rounder,14.0,CSK,0,0,0
MAHEESH THEEKSHANA,Bowler,0.7000000000000001,CSK,0,10.0,10.0
MUKESH CHOUDHARY,Bowler,0.2,CSK,0,10.0,10.0
PRASHANT SOLANKI,Bowler,1.2,CSK,0,8.585044760400212,0
SIMARJEET SINGH,Bowler,0.2,CSK,0,10.0,10.0
TUSHAR DESHPANDE,Bowler,0.2,CSK,0,4.380952380952381,0
MATHEESHA PATHIRANA,Bowler,0.2,CSK,0,8.492297817715022,0
RACHIN RAVINDRA,All-rounder,1.8,CSK,0,0,0
SHARDUL THAKUR,All-rounder,4.0,CSK,0,10.0,10.0
DARYL MITCHELL,All-rounder,14.0,CSK,0,0,10.0
SAMEER RIZVI,Batter,8.4,CSK,0,0,0
MUSTAFIZUR RAHMAN,Bowler,2.0,CSK,0,10.0,9.700000000000001
AVANISH RAO ARAVELLY,Wicket-keeper,0.2,CSK,1,0,0
DAVID WARNER,Batter,6.25,DC,0,0,10.0
RISHABH PANT,Wicketkeeper,16.0,DC,0,0,10.0
ISHANT SHARMA,Bowler,0.5,DC,0,0,0
ABHISHEK POREL,Wicketkeeper,0.2,DC,0,0,0
MITCHELL MARSH,All-rounder,6.5,DC,0,10.0,10.0
ANRICH NORTJE,Bowler,6.5,DC,0,10.0,2.799000000000001
PRITHVI SHAW,Batter,7.5,DC,0,0,10.0
KULDEEP YADAV,Bowler,2.0,DC,0,10.0,10.0
PRAVIN DUBEY,Bowler,0.5,DC,0,0,0
VICKY OSTWAL,All-Rounder,0.2,DC,0,0,0
LUNGI NGIDI,Bowler,0.5,DC,0,0,0
KHALEEL AHMED,Bowler,5.25,DC,0,10.0,0
MUKESH KUMAR,Bowler,5.5,DC,0,0,0
AXAR PATEL,All-rounder,9.0,DC,0,10.0,10.0
YASH DHULL,Batter,0.5,DC,0,0,0
LALIT YADAV,All-rounder,0.65,DC,0,10.0,10.0
HARRY BROOK,Batter,4.0,DC,0,0,0
TRISTAN STUBBS,Wicket-keeper,0.5,DC,1,0,8.050000000000002
RICKY BHUI,Wicket-keeper,0.2,DC,1,0,0
KUMAR KUSHAGRA,Wicket-keeper,7.2,DC,1,0,0
RASIKH DAR,Bowler,0.2,DC,0,0,0
JHYE RICHARDSON,Bowler,5.0,DC,0,0,0
SUMEET KUMAR,Bowler,1.0,DC,0,0,0
SHAI HOPE,Wicket-keeper&nbsp;,0.75,DC,0,0,0
SWASTIK CHHIKARA,Batter,0.2,DC,0,0,0
RASHID KHAN,Bowler,15.0,GT,0,10.0,10.0
KANE WILLIAMSON,Batter,2.0,GT,0,0,10.0
VIJAY SHANKAR,All-rounder,1.4,GT,0,0,10.0
SAI SUDHARSAN,Batter,0.2,GT,0,0,10.0
MOHIT SHARMA,Bowler,0.5,GT,0,0,0
MOHAMMED SHAMI,Bowler,6.25,GT,0,0,0
NOOR AHMAD,Bowler,0.3,GT,0,0,0
RAHUL TEWATIA,All-rounder,9.0,GT,0,0,10.0
WRIDDIMAN SAHA,Wicket-keeper,1.9,GT,1,0,0
DAVID MILLER,Batter,3.0,GT,0,0,10.0
SHUBMAN GILL,Batter,7.0,GT,0,0,10.0
JAYANT YADAV,Bowler,1.7,GT,0,0,0
ABHINAV MANOHAR,Batter,2.6,GT,0,0,10.0
JOSHUA LITTLE,Bowler,4.4,GT,0,0,0
SAI KISHORE,Bowler,3.0,GT,0,10.0,0
AZMATULLAH OMARZAI,All-rounder,0.5,GT,0,0,0
UMESH YADAV,Bowler,5.8,GT,0,10.0,10.0
SHAHRUKH KHAN,All-rounder,7.4,GT,0,0,10.0
SUSHANT MISHRA,Bowler,2.2,GT,0,0,0
KARTIK TYAGI,Bowler,0.6,GT,0,4.345618034447822,10.0
MANAV SUTHAR,Bowler,0.2,GT,0,0,0
SPENCER JOHNSON,Bowler,10.0,GT,0,0,0
ROBIN MINZ,Wicket-keeper,3.6,GT,1,0,0
SHREYAS IYER,Batter,12.25,KKR,0,0,10.0
NITISH RANA,All-rounder,8.0,KKR,0,0,10.0
RINKU SINGH,Batter,0.55,KKR,0,0,10.0
VENKATESH IYER,All-rounder,8.0,KKR,0,0,10.0
SUNIL NARINE,All-rounder,6.0,KKR,0,10.0,10.0
VARUN CHAKRAVARTHY,Bowler,8.0,KKR,0,0,0
SUYASH SHARMA,Bowler,0.2,KKR,0,0,0
ANDRE RUSSELL,All-rounder,12.0,KKR,0,10.0,10.0
JASON ROY,Batter,2.8,KKR,0,0,0
ANUKUL ROY,Spinner,0.2,KKR,0,4.42978465271459,0
VAIBHAV ARORA,Bowler,0.6,KKR,0,10.0,7.344000000000001
RAHMANULLAH GURBAZ,Wicket-keeper,0.5,KKR,1,0,0
